,home_team_name,away_team_name,home_ppg,away_ppg,home_team_goal_count,away_team_goal_count,total_goal_count,total_goals_at_half_time,home_team_goal_count_half_time,home_team_goal_count_half_time,away_team_goal_count_half_time,home_team_corner_count,away_team_corner_count,home_team_red_cards,away_team_red_cards,home_team_shots_on_target,away_team_shots_on_target,home_team_fouls,away_team_fouls,Result
214,Al Taawon,Al Fateh,1.23,0.92,1,2,3,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1
215,Najran,Al Ittihad,0.85,2.0,1,2,3,3,1,1,2,-1,-1,0,0,-1,-1,-1,-1,-1
216,Al Hilal,Al Khaleej,2.38,1.0,3,0,3,3,3,3,0,7,6,0,0,11,9,15,13,3
217,Al Fateh,Al Hilal,1.62,1.77,1,2,3,1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,-1
218,Al Raed,Al Ittihad,1.54,2.0,0,1,1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
219,Al Shoalah,Al Ahli,1.38,2.38,0,2,2,1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,-2
220,Al Faisaly,Al Taawon,1.15,0.92,2,2,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
221,Al Shabab,Najran,1.54,1.0,2,1,3,1,1,1,0,5,4,0,0,8,10,16,17,1
222,Al Khaleej,Hajer,1.23,0.77,2,2,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0
223,Al Nassr,Al Orubah,2.31,0.15,2,1,3,1,1,1,0,12,3,0,0,14,4,4,22,1
224,Hajer,Al Orubah,1.38,0.15,1,0,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
225,Najran,Al Faisaly,0.85,1.15,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
226,Al Taawon,Al Shoalah,1.23,0.23,3,0,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,3
227,Al Fateh,Al Raed,1.62,0.46,3,2,5,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
228,Al Ittihad,Al Khaleej,2.0,1.0,2,1,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,1
229,Al Hilal,Al Shabab,2.38,1.54,0,1,1,0,0,0,0,7,1,0,0,8,7,19,11,-1
230,Al Ahli,Al Nassr,2.23,2.62,2,1,3,1,1,1,0,5,7,0,0,4,3,14,5,1
231,Hajer,Najran,1.38,1.0,0,3,3,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-3
232,Al Orubah,Al Khaleej,1.15,1.0,2,2,4,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
233,Al Faisaly,Al Shabab,1.15,1.54,1,3,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-2
234,Al Shoalah,Al Fateh,1.38,0.92,1,0,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
235,Al Raed,Al Ahli,1.54,2.38,2,4,6,5,2,2,3,-1,-1,0,0,-1,-1,-1,-1,-2
236,Al Nassr,Al Ittihad,2.31,2.0,2,1,3,0,0,0,0,5,7,1,1,4,6,11,15,1
237,Al Khaleej,Al Fateh,1.23,0.92,2,2,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
238,Al Ahli,Al Orubah,2.23,0.15,2,0,2,1,1,1,0,6,2,0,0,3,4,13,28,2
239,Al Shabab,Al Raed,1.54,0.46,0,0,0,0,0,0,0,11,2,1,0,13,3,9,15,0
240,Al Taawon,Al Nassr,1.23,2.62,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
241,Najran,Al Shoalah,0.85,0.23,3,1,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
242,Al Ittihad,Hajer,2.0,0.77,0,1,1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
243,Al Fateh,Najran,1.62,1.0,2,1,3,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
244,Al Shoalah,Al Orubah,1.38,0.15,0,0,0,0,0,0,0,-1,-1,1,0,-1,-1,-1,-1,0
245,Al Raed,Al Khaleej,1.54,1.0,1,2,3,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1
246,Al Ahli,Al Faisaly,2.23,1.15,1,1,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
247,Al Shabab,Al Taawon,1.54,0.92,1,2,3,1,1,1,0,2,12,1,0,8,7,16,16,-1
248,Hajer,Al Nassr,1.38,2.62,0,4,4,1,0,0,1,-1,-1,2,0,-1,-1,-1,-1,-4
249,Al Ittihad,Al Hilal,2.0,1.77,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
250,Al Khaleej,Najran,1.23,1.0,0,1,1,0,0,0,0,-1,-1,0,1,-1,-1,-1,-1,-1
251,Al Shoalah,Hajer,1.38,0.77,3,1,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
252,Al Nassr,Al Faisaly,2.31,1.15,0,0,0,0,0,0,0,11,2,0,1,14,5,12,23,0
253,Al Fateh,Al Ahli,1.62,2.38,0,1,1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
254,Al Taawon,Al Ittihad,1.23,2.0,4,3,7,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,1
255,Al Orubah,Al Shabab,1.15,1.54,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
256,Al Hilal,Al Raed,2.38,0.46,3,1,4,2,2,2,0,8,4,0,0,5,7,18,15,2
257,Al Hilal,Al Taawon,2.38,0.92,3,1,4,4,3,3,1,-1,-1,0,0,-1,-1,-1,-1,2
258,Hajer,Al Fateh,1.38,0.92,2,1,3,1,0,0,1,-1,-1,0,1,-1,-1,-1,-1,1
259,Al Faisaly,Al Khaleej,1.15,1.0,1,2,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
260,Al Taawon,Al Ahli,1.23,2.38,1,4,5,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,-3
261,Al Ittihad,Al Shabab,2.0,1.54,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
262,Al Raed,Al Shoalah,1.54,0.23,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
263,Najran,Al Orubah,0.85,0.15,2,0,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
264,Al Nassr,Al Hilal,2.31,1.77,1,0,1,0,0,0,0,0,4,1,1,5,4,11,22,1
265,Al Shabab,Al Nassr,1.54,2.62,0,3,3,1,0,0,1,4,7,1,0,4,5,9,14,-3
266,Al Faisaly,Al Shoalah,1.15,0.23,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
267,Hajer,Al Hilal,1.38,1.77,1,1,2,1,1,1,0,2,9,0,0,0,6,15,15,0
268,Al Ahli,Al Ittihad,2.23,2.0,1,1,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
269,Al Khaleej,Al Taawon,1.23,0.92,0,3,3,2,0,0,2,10,2,0,0,3,0,18,17,-3
270,Al Orubah,Al Fateh,1.15,0.92,1,2,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
271,Al Raed,Najran,1.54,1.0,3,2,5,3,1,1,2,-1,-1,0,0,-1,-1,-1,-1,1
272,Al Faisaly,Al Hilal,1.15,1.77,2,2,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,0
273,Najran,Al Nassr,0.85,2.62,0,4,4,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-4
274,Hajer,Al Ahli,1.38,2.38,0,3,3,3,0,0,3,-1,-1,0,0,-1,-1,-1,-1,-3
275,Al Khaleej,Al Shabab,1.23,1.54,1,0,1,0,0,0,0,1,8,0,0,2,2,27,14,1
276,Al Fateh,Al Ittihad,1.62,2.0,2,2,4,2,2,2,0,3,8,1,0,0,6,18,16,0
277,Al Hilal,Al Shoalah,2.38,0.23,2,1,3,2,1,1,1,4,1,0,0,7,6,13,12,1
278,Al Raed,Al Faisaly,1.54,1.15,2,1,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,1
279,Al Taawon,Al Orubah,1.23,0.15,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
280,Al Faisaly,Al Ittihad,1.15,2.0,0,3,3,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,-3
281,Al Taawon,Hajer,1.23,0.77,3,1,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
282,Al Shabab,Al Fateh,1.54,0.92,2,2,4,1,0,0,1,8,4,0,0,10,5,15,24,0
283,Al Shoalah,Al Khaleej,1.38,1.0,1,1,2,1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,0
284,Al Nassr,Al Raed,2.31,0.46,2,2,4,2,1,1,1,15,4,0,0,20,3,25,14,0
285,Al Orubah,Al Hilal,1.15,1.77,1,0,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
286,Najran,Al Taawon,0.85,0.92,0,1,1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
287,Hajer,Al Shabab,1.38,1.54,4,4,8,2,1,1,1,6,1,0,0,0,0,15,11,0
288,Al Faisaly,Al Fateh,1.15,0.92,4,2,6,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,2
289,Al Ittihad,Al Shoalah,2.0,0.23,3,2,5,4,3,3,1,-1,-1,1,0,-1,-1,-1,-1,1
290,Al Nassr,Al Khaleej,2.31,1.0,4,1,5,2,1,1,1,12,4,0,0,12,6,15,25,3
291,Al Raed,Al Orubah,1.54,0.15,2,1,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
292,Al Ahli,Al Hilal,2.23,1.77,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
293,Al Orubah,Al Ittihad,1.15,2.0,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
294,Najran,Al Hilal,0.85,1.77,0,2,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-2
295,Al Shoalah,Al Shabab,1.38,1.54,1,2,3,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,-1
296,Al Fateh,Al Nassr,1.62,2.62,1,1,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
297,Al Khaleej,Al Ahli,1.23,2.38,1,1,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
298,Al Taawon,Al Raed,1.23,0.46,3,1,4,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
299,Hajer,Al Faisaly,1.38,1.15,0,2,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-2
300,Al Raed,Hajer,1.54,0.77,2,1,3,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,1
301,Al Faisaly,Al Orubah,1.15,0.15,2,0,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
302,Al Ittihad,Najran,2.0,1.0,2,1,3,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,1
303,Al Fateh,Al Taawon,1.62,0.92,2,0,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
304,Al Khaleej,Al Hilal,1.23,1.77,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
305,Al Nassr,Al Shoalah,2.31,0.23,5,0,5,2,2,2,0,5,2,0,0,17,4,13,17,5
306,Al Shabab,Al Ahli,1.54,2.38,2,3,5,3,2,2,1,-1,-1,0,0,-1,-1,-1,-1,-1
307,Al Ahli,Najran,2.23,1.0,2,1,3,1,1,1,0,-1,-1,1,0,-1,-1,-1,-1,1
308,Al Orubah,Al Nassr,1.15,2.62,0,2,2,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,-2
309,Al Taawon,Al Faisaly,1.23,1.15,0,1,1,0,0,0,0,-1,-1,1,0,-1,-1,-1,-1,-1
310,Al Hilal,Al Fateh,2.38,0.92,3,0,3,1,1,1,0,4,1,0,0,2,2,10,9,3
311,Najran,Al Shabab,0.85,1.54,2,1,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
312,Al Ahli,Al Shoalah,2.23,0.23,3,0,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,3
313,Hajer,Al Khaleej,1.38,1.0,1,1,2,1,0,0,1,6,4,0,0,0,3,21,18,0
314,Al Ittihad,Al Raed,2.0,0.46,3,1,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
315,Al Orubah,Hajer,1.15,0.77,2,3,5,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1
316,Al Khaleej,Al Ittihad,1.23,2.0,0,1,1,0,0,0,0,5,4,0,0,3,3,11,18,-1
317,Al Raed,Al Fateh,1.54,0.92,2,3,5,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,-1
318,Al Shoalah,Al Taawon,1.38,0.92,4,3,7,1,1,1,0,-1,-1,0,1,-1,-1,-1,-1,1
319,Al Faisaly,Najran,1.15,1.0,0,1,1,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
320,Al Shabab,Al Hilal,1.54,1.77,0,1,1,1,0,0,1,5,14,0,0,2,4,11,16,-1
321,Al Nassr,Al Ahli,2.31,2.38,3,4,7,3,2,2,1,6,5,0,0,8,10,10,15,-1
322,Al Shabab,Al Faisaly,1.54,1.15,2,1,3,1,1,1,0,7,3,0,0,6,3,15,20,1
323,Al Ahli,Al Raed,2.23,0.46,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
324,Al Fateh,Al Shoalah,1.62,0.23,0,0,0,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
325,Al Khaleej,Al Orubah,1.23,0.15,2,0,2,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
326,Al Taawon,Al Hilal,1.23,1.77,0,1,1,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,-1
327,Al Ittihad,Al Nassr,2.0,2.62,1,3,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-2
328,Hajer,Al Ittihad,1.38,2.0,0,1,1,1,0,0,1,3,15,0,0,2,3,15,12,-1
329,Al Shoalah,Najran,1.38,1.0,2,1,3,1,0,0,1,-1,-1,0,1,-1,-1,-1,-1,1
330,Al Fateh,Al Khaleej,1.62,1.0,2,0,2,1,1,1,0,5,2,0,0,3,2,8,16,2
331,Al Nassr,Al Taawon,2.31,0.92,2,1,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,1
332,Al Raed,Al Shabab,1.54,1.54,3,1,4,2,2,2,0,-1,-1,1,1,-1,-1,-1,-1,2
333,Al Orubah,Al Ahli,1.15,2.38,1,3,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-2
334,Al Hilal,Al Faisaly,2.38,1.15,3,0,3,1,1,1,0,2,4,0,0,6,6,25,12,3
335,Al Nassr,Hajer,2.31,0.77,3,0,3,1,1,1,0,5,2,0,0,12,5,3,13,3
336,Al Taawon,Al Shabab,1.23,1.54,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
337,Al Hilal,Al Ittihad,2.38,2.0,3,0,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,3
338,Al Khaleej,Al Raed,1.23,0.46,3,0,3,0,0,0,0,7,1,0,0,2,0,20,13,3
339,Najran,Al Fateh,0.85,0.92,1,1,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
340,Al Orubah,Al Shoalah,1.15,0.23,2,0,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
341,Al Faisaly,Al Ahli,1.15,2.38,1,4,5,2,0,0,2,-1,-1,2,0,-1,-1,-1,-1,-3
342,Hajer,Al Shoalah,1.38,0.23,2,1,3,2,2,2,0,1,7,0,0,4,7,20,15,1
343,Najran,Al Khaleej,0.85,1.0,1,4,5,2,0,0,2,-1,-1,0,0,-1,-1,-1,-1,-3
344,Al Shabab,Al Orubah,1.54,0.15,3,0,3,1,1,1,0,5,7,0,0,8,11,19,16,3
345,Al Faisaly,Al Nassr,1.15,2.62,1,5,6,5,1,1,4,-1,-1,1,0,-1,-1,-1,-1,-4
346,Al Raed,Al Hilal,1.54,1.77,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
347,Al Ittihad,Al Taawon,2.0,0.92,4,3,7,4,3,3,1,-1,-1,0,0,-1,-1,-1,-1,1
348,Al Ahli,Al Fateh,2.23,0.92,5,0,5,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,5
349,Al Khaleej,Al Faisaly,1.23,1.15,4,2,6,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,2
350,Al Fateh,Hajer,1.62,0.77,3,1,4,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,2
351,Al Ahli,Al Taawon,2.23,0.92,2,2,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
352,Al Orubah,Najran,1.15,1.0,0,1,1,1,0,0,1,-1,-1,1,0,-1,-1,-1,-1,-1
353,Al Shoalah,Al Raed,1.38,0.46,2,2,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,0
354,Al Hilal,Al Nassr,2.38,2.62,0,1,1,1,0,0,1,-1,-1,3,0,-1,-1,-1,-1,-1
355,Al Shabab,Al Ittihad,1.54,2.0,3,4,7,2,1,1,1,-1,-1,1,0,-1,-1,-1,-1,-1
356,Najran,Al Raed,0.85,0.46,1,2,3,2,1,1,1,-1,-1,0,0,-1,-1,-1,-1,-1
357,Al Fateh,Al Orubah,1.62,0.15,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
358,Al Shoalah,Al Faisaly,1.38,1.15,2,1,3,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,1
359,Al Taawon,Al Khaleej,1.23,1.0,4,4,8,3,1,1,2,-1,-1,0,1,-1,-1,-1,-1,0
360,Al Hilal,Hajer,2.38,0.77,5,1,6,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,4
361,Al Nassr,Al Shabab,2.31,1.54,0,0,0,0,0,0,0,-1,-1,2,2,-1,-1,-1,-1,0
362,Al Ittihad,Al Ahli,2.0,2.38,1,1,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
363,Najran,Hajer,0.85,0.77,1,2,3,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,-1
364,Al Hilal,Al Wahda,2.08,1.0,2,0,2,2,2,2,0,-1,-1,0,0,-1,-1,-1,-1,2
365,Al Khaleej,Al Fateh,1.0,1.38,0,2,2,2,0,0,2,-1,-1,1,0,-1,-1,-1,-1,-2
366,Najran,Al Ittihad,0.77,2.0,1,2,3,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,-1
367,Al Taawon,Al Ahli,2.23,2.54,0,0,0,0,0,0,0,6,7,0,0,4,0,18,23,0
368,Al Nassr,Hajer,1.38,0.46,0,0,0,0,0,0,0,8,1,0,0,6,4,11,16,0
369,Al Quadisiya,Al Faisaly,1.31,1.23,1,0,1,1,1,1,0,2,2,0,0,2,2,17,18,1
370,Al Shabab,Al Raed,1.38,0.69,3,1,4,0,0,0,0,5,3,0,0,4,3,14,13,2
371,Al Khaleej,Al Ahli,1.0,2.54,0,4,4,1,0,0,1,5,6,0,1,6,5,18,11,-4
372,Al Raed,Al Ittihad,1.15,2.0,0,2,2,0,0,0,0,2,11,0,0,5,4,16,17,-2
373,Hajer,Al Shabab,0.23,1.62,1,2,3,1,0,0,1,3,6,0,0,5,2,12,16,-1
374,Al Quadisiya,Al Nassr,1.31,1.08,2,2,4,2,0,0,2,5,4,0,0,8,7,11,17,0
375,Al Faisaly,Al Taawon,1.0,1.23,1,2,3,1,1,1,0,5,10,0,1,3,8,16,13,-1
376,Al Fateh,Al Hilal,1.77,2.15,1,2,3,2,1,1,1,1,4,0,0,3,9,14,10,-1
377,Al Wahda,Najran,1.38,0.85,1,1,2,0,0,0,0,-1,-1,0,0,-1,-1,-1,-1,0
378,Al Shabab,Al Khaleej,1.38,1.54,0,0,0,0,0,0,0,5,4,0,0,5,4,13,21,0
379,Al Taawon,Al Quadisiya,2.23,0.85,5,1,6,3,2,2,1,7,6,1,0,4,5,14,16,4
380,Al Ahli,Al Wahda,2.31,1.0,2,0,2,1,1,1,0,14,3,0,0,6,4,13,13,2
381,Al Nassr,Najran,1.38,0.85,2,0,2,1,1,1,0,5,10,0,0,9,13,15,15,2
382,Al Fateh,Hajer,1.77,0.46,1,1,2,0,0,0,0,7,2,0,0,4,5,18,15,0
383,Al Ittihad,Al Faisaly,1.77,1.23,1,2,3,2,0,0,2,11,7,0,0,6,2,20,11,-1
384,Al Hilal,Al Raed,2.08,0.69,1,0,1,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,1
385,Hajer,Al Khaleej,0.23,1.54,1,2,3,2,0,0,2,8,1,0,0,5,2,13,23,-1
386,Al Raed,Al Fateh,1.15,1.38,0,0,0,0,0,0,0,5,2,0,0,5,5,7,13,0
387,Al Wahda,Al Faisaly,1.38,1.23,2,2,4,3,2,2,1,7,7,0,0,5,3,20,9,0
388,Al Quadisiya,Al Ittihad,1.31,2.0,1,3,4,2,1,1,1,9,3,1,0,12,4,19,9,-2
389,Najran,Al Shabab,0.77,1.62,0,1,1,0,0,0,0,3,1,1,0,5,4,16,16,-1
390,Al Ahli,Al Nassr,2.31,1.08,4,2,6,3,3,3,0,-1,-1,0,0,-1,-1,-1,-1,2
391,Al Hilal,Al Taawon,2.08,1.23,3,1,4,1,1,1,0,-1,-1,0,0,-1,-1,-1,-1,2
392,Al Quadisiya,Al Raed,1.31,0.69,1,1,2,1,0,0,1,10,3,0,0,8,3,19,14,0
393,Al Khaleej,Al Taawon,1.0,1.23,1,1,2,0,0,0,0,5,8,0,0,8,6,20,10,0
394,Al Faisaly,Hajer,1.0,0.46,3,1,4,2,1,1,1,-1,-1,0,1,-1,-1,-1,-1,2
395,Al Wahda,Al Nassr,1.38,1.08,0,2,2,2,0,0,2,1,6,0,0,7,5,19,7,-2
396,Al Fateh,Al Shabab,1.77,1.62,0,0,0,0,0,0,0,4,2,0,0,7,4,17,22,0
397,Najran,Al Ahli,0.77,2.54,0,1,1,1,0,0,1,5,2,0,0,3,6,21,6,-1
398,Al Ittihad,Al Hilal,1.77,2.15,4,3,7,3,3,3,0,4,6,0,0,4,14,15,13,1
399,Hajer,Al Wahda,0.23,1.0,1,2,3,2,1,1,1,7,3,0,0,4,6,21,18,-1
400,Al Raed,Al Khaleej,1.15,1.54,0,2,2,0,0,0,0,4,4,0,0,5,4,16,18,-2
401,Al Nassr,Al Faisaly,1.38,1.23,0,0,0,0,0,0,0,8,3,0,0,4,5,14,15,0
402,Al Fateh,Al Ittihad,1.77,2.0,1,1,2,2,1,1,1,6,11,0,0,9,6,16,14,0
403,Al Hilal,Al Quadisiya,2.08,0.85,1,0,1,0,0,0,0,5,6,0,0,4,0,16,15,1
404,Al Taawon,Najran,2.23,0.85,4,1,5,2,2,2,0,5,10,0,0,9,6,20,17,3
405,Al Shabab,Al Ahli,1.38,2.54,1,1,2,1,0,0,1,-1,-1,0,0,-1,-1,-1,-1,0
406,Al Khaleej,Najran,1.0,0.85,3,1,4,3,2,2,1,7,2,1,1,6,9,13,15,2
407,Al Fateh,Al Wahda,1.77,1.0,2,0,2,2,2,2,0,13,10,0,0,9,11,8,12,2
408,Al Faisaly,Al Raed,1.0,0.69,2,2,4,1,1,1,0,4,2,0,0,5,4,17,19,0
409,Najran,Hajer,0.77,0.46,2,0,2,0,0,0,0,3,8,0,0,6,8,16,10,2
410,Al Quadisiya,Al Shabab,1.31,1.62,0,1,1,0,0,0,0,5,4,0,0,8,3,15,25,-1
411,Al Hilal,Al Khaleej,2.08,1.54,7,0,7,1,1,1,0,5,2,0,0,5,5,16,13,7
412,Al Taawon,Al Nassr,2.23,1.08,3,3,6,3,1,1,2,-1,-1,0,0,-1,-1,-1,-1,0
413,Al Ittihad,Al Ahli,1.77,2.54,0,3,3,2,0,0,2,7,11,0,0,6,2,16,6,-3
414,Hajer,Al Taawon,0.23,1.23,1,4,5,1,0,0,1,1,3,0,0,3,9,9,15,-3
415,Al Raed,Al Wahda,1.15,1.0,1,0,1,0,0,0,0,6,6,0,0,2,3,12,19,1
416,Al Nassr,Al Fateh,1.38,1.38,3,1,4,1,1,1,0,4,4,0,0,3,6,15,19,2
417,Al Ahli,Al Faisaly,2.31,1.23,1,1,2,0,0,0,0,13,1,0,0,9,0,9,13,0
418,Al Khaleej,Al Ittihad,1.0,2.0,2,2,4,2,1,1,1,3,2,0,0,3,2,16,12,0
419,Al Shabab,Al Hilal,1.38,2.15,0,1,1,1,0,0,1,3,11,0,0,2,7,17,18,-1
420,Najran,Al Quadisiya,0.77,0.85,1,1,2,0,0,0,0,7,4,1,0,2,5,10,10,0
421,Al Raed,Al Nassr,1.15,1.08,0,0,0,0,0,0,0,4,9,0,0,3,3,18,16,0
422,Al Wahda,Al Quadisiya,1.38,0.85,1,0,1,1,1,1,0,2,4,0,0,3,2,20,13,1
423,Al Ahli,Hajer,2.31,0.46,1,0,1,0,0,0,0,15,1,0,0,9,3,15,20,1
424,Al Fateh,Al Taawon,1.77,1.23,1,0,1,0,0,0,0,6,5,1,0,6,6,20,15,1
425,Al Faisaly,Al Khaleej,1.0,1.54,1,2,3,0,0,0,0,8,3,0,0,4,7,7,16,-1
426,Al Hilal,Najran,2.08,0.85,2,0,2,2,2,2,0,4,3,0,0,4,4,8,17,2
427,Al Ittihad,Al Shabab,1.77,1.62,2,1,3,0,0,0,0,6,3,1,0,9,5,27,19,1
428,Najran,Al Faisaly,0.77,1.23,0,1,1,1,0,0,1,2,2,1,0,5,0,21,18,-1
429,Al Taawon,Al Raed,2.23,0.69,2,0,2,0,0,0,0,12,1,0,0,6,2,18,12,2
430,Al Khaleej,Al Nassr,1.0,1.08,1,1,2,0,0,0,0,3,6,0,0,7,6,14,10,0
431,Al Ittihad,Hajer,1.77,0.46,5,0,5,2,2,2,0,9,5,0,0,8,4,16,8,5
